iteration,steps,time_consumed
318,16,0.004000186920166016
43233,28,0.3689231872558594
1971,20,0.020026445388793945
5297,23,0.09296894073486328
59705,29,0.4939091205596924
8618,24,0.06799006462097168
2946,21,0.025534629821777344
23456,26,0.22004318237304688
27265,27,0.25667333602905273
15760,25,0.12073516845703125
6052,23,0.049994468688964844
30893,27,0.2715787887573242
5938,23,0.05369901657104492
3462,21,0.02897477149963379
6939,23,0.056664466857910156
7969,23,0.06397867202758789
22614,26,0.21563148498535156
3695,21,0.03197598457336426
36534,27,0.31589770317077637
27954,27,0.25573110580444336
93731,30,0.8157026767730713
10489,24,0.08074665069580078
9095,24,0.06998991966247559
13259,25,0.14449548721313477
1437,19,0.012998580932617188
14902,25,0.11337971687316895
37195,27,0.32105183601379395
38165,27,0.3256986141204834
25526,26,0.18879127502441406
48137,28,0.45452356338500977
3939,22,0.032987356185913086
22706,26,0.17627358436584473
1973,20,0.01899576187133789
13431,25,0.14773917198181152
4078,22,0.03599715232849121
3221,21,0.02800154685974121
12865,25,0.09819507598876953
21558,26,0.21101832389831543
5558,23,0.04700064659118652
66512,29,0.5397017002105713
20231,26,0.1975860595703125
119,13,0.003001689910888672
31464,27,0.2829704284667969
18045,25,0.1349186897277832
9530,24,0.07396769523620605
9588,24,0.11812686920166016
2638,21,0.022958755493164062
95559,30,0.8174600601196289
29864,27,0.22514057159423828
13179,25,0.14771127700805664
6284,23,0.05266714096069336
11997,24,0.0904543399810791
26654,27,0.2452075481414795
2891,21,0.025979995727539062
33266,27,0.2928280830383301
7288,23,0.059311628341674805
10853,24,0.08397102355957031
8839,24,0.07200098037719727
61604,29,0.5509026050567627
639,17,0.008005142211914062
2959,21,0.02599811553955078
4033,22,0.03560447692871094
15772,25,0.11984920501708984
7373,23,0.10890698432922363
4615,22,0.038512468338012695
32790,27,0.29431653022766113
71546,29,0.5951187610626221
9242,24,0.0750420093536377
61077,29,0.552823543548584
1305,19,0.012983322143554688
5830,23,0.049999237060546875
8914,24,0.07200741767883301
3497,22,0.03499555587768555
34734,27,0.306011438369751
30556,27,0.27803826332092285
29847,27,0.26696038246154785
89743,30,0.7748579978942871
6958,23,0.06510663032531738
93997,30,0.8086225986480713
22716,26,0.22270750999450684
71568,29,0.6422185897827148
1780,20,0.016997098922729492
3576,21,0.028997421264648438
7476,23,0.05999922752380371
2670,21,0.022992372512817383
13860,25,0.10702848434448242
1179,19,0.012000322341918945
32984,27,0.2932760715484619
48719,28,0.4007439613342285
71057,29,0.6285955905914307
8316,23,0.06600165367126465
29643,27,0.2681586742401123
49370,28,0.417952299118042
17684,25,0.1784358024597168
9363,24,0.07146763801574707
13183,25,0.10279440879821777
15158,25,0.11661076545715332
15035,25,0.16104769706726074
22777,26,0.16969037055969238
60671,29,0.5478851795196533
25979,27,0.2410893440246582
10263,24,0.08098125457763672
10287,24,0.07999682426452637
3391,21,0.027975797653198242
8985,24,0.06999897956848145
4115,22,0.03599858283996582
22804,26,0.2126307487487793
8898,24,0.07097768783569336
1575,19,0.013979196548461914
43808,28,0.36974573135375977
14699,25,0.15593338012695312
69076,29,0.5627737045288086
170783,32,1.546069622039795
5658,23,0.046980857849121094
3228,21,0.02697610855102539
1790,20,0.016999483108520508
23295,26,0.16960835456848145
42267,28,0.3594357967376709
997,18,0.008983373641967773
62438,29,0.5599353313446045
49567,28,0.4145622253417969
1253,19,0.011996746063232422
72067,29,0.6331017017364502
